album,name,popularity,duration_ms,tempo,energy,loudness,speechiness,instrumentalness,lyrics,Gold,Platinum
505 (LIVE AT THE ROYAL ALBERT HALL),505 - LIVE,37,275733,139.451,0.724,-9.384,0.0753,3.89e-05,_IGNORE_EMPTY_IGNORE_,,
AM,ARABELLA,55,207356,179.949,0.558,-6.986,0.0895,1.26e-06,"[Verse 1]
Arabella's got some interstellar-gator skin boots
An' a Helter Skelter 'round her little finger
An' I ride it endlessly
She's got a Barbarella silver swimsuit
An' when she needs to shelter from reality
She takes a dip in my daydreams

[Chorus]
My days end best when the sunset gets itself behind
That little lady sittin' on the passenger side
It's much less picturesque without her catchin' the light
The horizon tries but it's just not as kind on the eyes
As Arabella, oh
As Arabella

[Post-Chorus]
Just might’ve tapped into your mind and soul
You can't be sure

[Verse 2]
Arabella's got a '70s head
But she's a modern lover
It's an exploration, she's made of outer space
An' her lips are like the galaxy's edge
An' her kiss the colour of a constellation
Fallin' into place

[Chorus]
My days end best when the sunset gets itself behind
That little lady sittin' on the passenger side
It's much less picturesque without her catchin' the light
The horizon tries but it's just not as kind on the eyes
As Arabella, oh
As Arabella

[Post-Chorus]
Just might’ve tapped into your mind and soul
You can't be sure

[Bridge]
(That's magic) In a cheetah print coat
(Just a slip) Underneath it, I hope
(Asking if) I can have one of those
(Organic) Cigarettes that she smokes
(Wraps her lips) 'Round a Mexican Coke
(Makes you wish) That you were the bottle
(Takes a sip) Of your soul, an' it sounds like

[Guitar Solo]

[Outro]
Just might’ve tapped into your mind and soul
You can't be sure",2.0,12.0
AM,DO I WANNA KNOW?,65,272394,85.03,0.532,-7.596,0.0323,0.000263,"[Verse 1]
Have you got colour in your cheeks?
Do you ever get that fear that you can't shift the type
That sticks around like summat in your teeth?
Are there some aces up your sleeve?
Have you no idea that you're in deep?
I've dreamt about you nearly every night this week
How many secrets can you keep?
'Cause there's this tune I found
That makes me think of you somehow an' I play it on repeat
Until I fall asleep, spillin' drinks on my settee

[Pre-Chorus]
(Do I wanna know?) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you’d stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

[Chorus]
Crawlin' back to you
Ever thought of callin' when
You've had a few?
'Cause I always do
Maybe I'm too
Busy bein' yours
To fall for somebody new
Now, I've thought it through
Crawlin' back to you

[Verse 2]
So have you got the guts?
Been wonderin' if your heart's still open
And if so, I wanna know what time it shuts
Simmer down an' pucker up, I'm sorry to interrupt
It's just I'm constantly on the cusp of tryin' to kiss you
I don't know if you feel the same as I do
But we could be together if you wanted to

[Pre-Chorus]
(Do I wanna know?) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you’d stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day

[Chorus]
Crawlin' back to you (Crawlin' back to you)
Ever thought of callin' when
You've had a few? (Had a few)
'Cause I always do ('Cause I always do)
Maybe I'm too (Maybe I’m too busy)
Busy bein' yours (Bein' yours)
To fall for somebody new
Now, I've thought it through
Crawlin' back to you

[Outro]
(Do I wanna know?) If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you’d stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day
(Do I wanna know?) Too busy bein' yours to fall
(Sad to see you go) Ever thought of callin', darlin'?
(Do I wanna know?) Do you want me crawlin' back to you?",2.0,12.0
AM,FIRESIDE,43,181049,100.033,0.953,-5.611,0.056,0.00126,"[Verse 1]
I can't explain but I wanna try
There's this image of you and I
And it goes dancing by
In the morning and in the night time
There's all these secrets that I can't keep
Like in my heart there's that hotel suite
And you lived there so long
It's kind of strange now you're gone

[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?

[Verse 2]
There's all those places we used to go
And I suspect you already know
But that place on memory lane you like still looks the same
But something about it's changed

[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?

[Bridge]
And I thought I was yours forever
Or maybe I was mistaken
But I just cannot manage to make it through the day
Without thinking of you lately

[Instrumental Break]

[Chorus]
I'm not sure if I should show you what I've found
Has it gone for good, or is it coming back around?
Isn't it hard to make up your mind
When you're losing and your fuse is fireside?",2.0,12.0
AM,I WANNA BE YOURS,65,183956,67.528,0.417,-9.345,0.0256,0.022,"[Verse 1]
I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours

[Chorus]
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours
I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

[Verse 2]
Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you’ll get cold without
I wanna be your setting lotion (Wanna be)
Hold your hair in deep devotion (How it deep?)
At least as deep as the Pacific Ocean
I wanna be yours

[Chorus]
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours
I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

[Outro]
I wanna be your vacuum cleaner (Wanna be yours)
Breathin' in your dust (Wanna be yours)
I wanna be your Ford Cortina (Wanna be yours)
I will never rust (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)",2.0,12.0
AM,I WANT IT ALL,43,185406,131.052,0.81,-5.579,0.0347,0.0748,"[Verse 1]
Blind faith, heartache
Mind games, mistakes
My sweet fireball
My sweet rigmarole

[Chorus]
I want it all
I want it all

[Verse 2]
Old dogs, new tricks
Can you feel it?
Space age country girl
Stone cold miracle

[Chorus]
I want it all
I want it all

[Verse 3]
And then suddenly it hit me, it’s a year ago
Since I drank miniature whiskey and we shared your Coke
Said, ain’t it just like you to kiss me and then hit the road?
Leave me listening to the Stones, 2000 Light Years From Home

[Bridge]
Shoo-wop, shoo-wop shoo-wop, shoo-wop
Shoo-wop, shoo-wop shoo-wop, shoo-wop
Shoo-wop, shoo-wop shoo-wop, shoo-wop
Shoo-wop, shoo-wop shoo-wop, shoo-wop
Shoo-wop, shoo-wop

[Chorus]
I want it all
I want it all
I want it all
I want it all
I want it all",2.0,12.0
AM,KNEE SOCKS,52,257563,97.975,0.542,-8.323,0.033,0.00291,"[Verse 1]
You got the lights on in the afternoon
An' the nights are drawn out long
And you’re kissin' to cut through the gloom
With a cough drop coloured tongue
And you were sittin' in the corner
With the coats, all piled high
And I thought you might be mine
In a small world on an exceptionally
Rainy Tuesday night
In the right place and time

[Chorus]
When the zeros line up on the
24-hour clock
When you know who’s callin'
Even though the number is blocked
When you walked around your house
Wearin' my sky blue Lacoste
And your knee socks

[Verse 2]
Well, you cured my January blues
Yeah, you made it all alright
I got a feelin' I might have lit the very fuse
That you were tryin' not to light
You were a stranger in my phonebook
I was actin' like I knew
‘Cause I had nothin' to lose
When the winter’s in full swing
And your dreams just aren’t comin' true
Ain’t it funny what you’ll do?

[Chorus]
When the zeros line up on the
24-hour clock
When you know who’s callin'
Even though the number is blocked
When you walked around your house
Wearin' my sky blue Lacoste
And your knee socks

[Post-Chorus]
The late afternoon, the ghost in your room
That you always thought didn’t approve of you knockin' boots
Never stopped you lettin' me get hold of the sweet spot
By the scruff of your knee socks

[Bridge]
You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could be my baby (Could be my baby)
You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could be my baby (Could be my baby)

[Interlude: Josh Homme]
All the zeros lined up
But the number’s blocked
When you’ve come undone

[Bridge]
You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could be my baby (Could be my baby)
You and me could have been a team
Each had a half of a king and queen seat
Like the beginning of Mean Streets
You could be my baby (Could be my baby)

[Chorus]
When the zeros line up on the
24-hour clock
When you know who’s callin'
Even though the number is blocked
When you walked around your house
Wearin' my sky blue Lacoste
And your knee socks
When the zeros line up on the
24-hour clock
When you know who’s callin'
Even though the number is blocked
When you walked around your house
Wearin' my sky blue Lacoste
And your knee socks

[Outro]
Knee socks
Knee socks",2.0,12.0
AM,MAD SOUNDS,41,215011,80.001,0.462,-10.71,0.03,0.196,"[Verse 1]
Mad sounds, in your ears
Make you feel alright
They bring you back to life
Mad sounds, in your ears
Make you get up and dance
Make you get up
Yeah, they make you get up
Love buckles under the strain
Of those wild nights
Run but you cannot hide

[Chorus]
Mad sounds, in your ears
Make you get up and dance
Make you get up
All night long they reappear
Make you get up and dance
Yeah, they make you get up

[Verse 2]
Suppose you've gotta do what you've gotta do
We just weren't feeling how we wanted to
You sit and try sometimes
But you just can’t figure out what went wrong
Then out of nowhere, somebody comes and hits you with an

[Bridge]
Ooh la la la, ooh la la la, ooh la la la, ooh
Ooh la la la, ooh la la la, ooh la la la, ooh

[Chorus]
You got those mad sounds, in your ears
To make you get up and dance
Mad sounds, in your ears
They make you get up and dance
Hold on to make you get up
Ah yeah, they make you get up

[Outro]
Ooh la la la, ooh la la la, ooh la la la, ooh
Ooh la la la, ooh la la la, ooh la la la, ooh
Ooh la la la, ooh la la la, ooh la la la, ooh
Ooh la la la, ooh la la la, ooh la la la, ooh
Ooh la la la, ooh la la la, ooh la la la, ooh
Ooh la la la, ooh la la la, ooh la la la, ooh",2.0,12.0
AM,NO. 1 PARTY ANTHEM,46,243131,115.013,0.698,-5.563,0.0297,0.0887,"[Verse 1]
So you're on the prowl wondering whether
She left already or not
Leather jacket, collar popped like antenna
Never knowing when to stop
Sunglasses indoors, par for the course
Lights in the floors and sweat on the walls
Cages and poles
Call off the search for your soul
Or put it on hold again
She's having a sly indoor smoke
And she calls the folks who run this, her oldest friends
Sipping a drink and laughing at imaginary jokes
As all the signals are sent, her eyes invite you to approach
And it seems as though those lumps in your throat
That you just swallowed have got you going

[Chorus]
Come on, come on, come on
Come on, come on, come on
Number one party anthem

[Verse 2]
She's a certified mind blower
Knowing full well that I don't
May suggest there's somewhere from which I might know her
Just to get the ball to roll
Drunken monologues, confused because
It's not like I'm falling in love, I just want ya
To do me no good
And you look like you could

[Chorus]
Come on, come on, come on
Come on, come on, come on
Number one party anthem
Come on, come on, come on
Before the moment's gone
Number one party anthem, yeah, yeah

[Bridge]
The look of love, the rush of blood
The ""She's with me""s, the Gallic shrug
The shutterbugs, the Camera Plus
The black & white and the color dodge
The good time girls, the cubicles
The house of fun, the number one
Party anthem, oh

[Chorus]
Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Come on, come on, come on
Before the moment's gone
Number one party anthem
Number one party anthem
Number one party anthem
Yeah, yeah",2.0,12.0
AM,ONE FOR THE ROAD,47,206051,180.048,0.668,-6.849,0.036,0.0615,"[Intro: Josh Homme]
One for the road, oooh oooh
One for the road, oooh oooh

[Verse 1: Alex Turner]
From the bottom of your heart
The relegation zone
I saw this comin' from the start
The shake, rattle and roll
The cracks in blackout blinds
Cast patterns on the ceiling
But you're feeling fine
I thought it was dark outside
I thought it was dark outside

[Chorus: Alex Turner & Josh Homme]
One for the road
So we all get back to yours
And you sit and talk to me on the floor
There's no need to show me 'round, baby
I feel like I've been here before
I've been wonderin' whether later
When you tell everybody to go
Will you pour me one for the road?

[Verse 2: Alex Turner]
I knew this would be on the cards
I knew you wouldn't fold
I saw this comin' from the start
The shake, rattle and roll

[Chorus: Alex Turner & Josh Homme]
One for the road
So we all get back to yours
And you sit and talk to me on the floor
There's no need to show me 'round, baby
I feel like I've been here before
I've been wonderin' whether later
When you tell everybody to go
Will you pour me one for the road?

[Bridge: Alex Turner & Josh Homme]
The mixture hits you hard
Don't get that sinking feeling
Don't fall apart
Some out of tune guitar
Soundtrack to disaster
Oooh oooh, one for the road
Oooh oooh, one for the road
Oooh oooh, one for the road
Oooh oooh, one for the road

[Guitar Solo]
Oooh oooh
Oooh oooh
Oooh oooh
Oooh oooh

[Chorus: Alex Turner & Josh Homme]
One for the road
So we all get back to yours
And you sit and talk to me on the floor
There's no need to show me 'round, baby
I feel like I've been here before
I've been wonderin' whether later
When you tell everybody to go
Will you pour me one for the road?",2.0,12.0
AM,R U MINE?,59,201726,97.094,0.758,-5.692,0.0371,0.0,"[Verse 1]
I'm a puppet on a string
Tracy Island, time-traveling
Diamond cutter-shaped heartaches
Come to find you four in some velvet morning
Years too late, she's a silver lining
Lone ranger riding through an open space
In my mind when she's not right there beside me

[Chorus]
I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself, all I
Wanna hear her say is ""Are you mine?""
Well, are you mine?
Are you mine?
Are you mine? Woah, ah

[Verse 2]
I guess what I'm trying to say is I need the deep end
Keep imagining meeting, wished away entire lifetimes
Unfair we're not somewhere misbehaving for days
Great escape, lost track of time and space
She's a silver lining climbing on my desire

[Chorus]
And I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself, all I
Wanna hear her say is ""Are you mine?""
Well, are you mine? (Are you mine tomorrow?)
Are you mine? (Or just mine tonight?)
Are you mine? (Are you mine, mine?)

[Bridge]
And the thrill of the chase moves in mysterious ways
So in case, I'm mistaken, I
Just wanna hear you say, ""You got me, baby
Are you mine?""
She's a silver lining
Lone ranger riding through an open space
In my mind when she's not right there beside me

[Chorus]
I go crazy 'cause here isn't where I wanna be
And satisfaction feels like a distant memory
And I can't help myself, all I
Wanna hear her say is ""Are you mine?""
Well, are you mine? (Are you mine tomorrow?)
Are you mine? (Or just mine tonight?)
Are you mine? (Are you mine tomorrow?)
(Or just mine tonight?)",2.0,12.0
AM,SNAP OUT OF IT,55,193030,130.014,0.638,-6.455,0.0336,0.0,"[Verse 1]
What's been happenin' in your world?
What have you been up to?
I heard that you fell in love or near enough
I gotta tell you the truth, yeah

[Chorus]
I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it

[Verse 2]
Forever isn't for everyone
Is forever for you?
It sounds like settlin' down or givin' up
But it don't sound much like you, girl

[Chorus]
I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it

[Bridge]
Under a spell, you're hypnotised (Ooh)
Darling, how could you be so blind? (Snap out of it)
Under a spell, you're hypnotised (Ooh)
Darling, how could you be so blind?

[Chorus]
I wanna grab both your shoulders and shake, baby
Snap out of it (Snap out of it)
I get the feelin' I left it too late, but, baby
Snap out of it (Snap out of it)
If that watch don't continue to swing
Or the fat lady fancies havin' a sing
I'll be here, waitin' ever so patiently for you to
Snap out of it",2.0,12.0
AM,WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH?,65,161123,92.004,0.631,-6.478,0.0368,1.13e-05,"[Verse 1]
The mirror's image tells me it's home time
But I'm not finished, 'cause you're not by my side
And as I arrived I thought I saw you leavin'
Carryin' your shoes
Decided that once again I was just dreamin'
Of bumpin' into you

[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply
""Why'd you only call me when you're high?""
""Hi, why'd you only call me when you're high?""

[Verse 2]
Somewhere darker, talkin' the same shite
I need a partner, well are you out tonight?
It's harder and harder to get you to listen
More I get through the gears
Incapable of makin' alright decisions
And having bad ideas

[Chorus]
Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply (Message, you reply)
""Why'd you only call me when you're high?""
(Why'd you only call me when you're)
""Hi, why'd you only call me when you're high?""

[Bridge]
An' I can't see you here, wonderin' where  am I
It sort of feels like I'm runnin' out of time
I haven't found all I was hopin' to find
You said you got to be up in the mornin'
Gonna have an early night
An' you're startin' to bore me, baby
""Why'd you only call me when you're high?""

[Outro]
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're (high)?""",2.0,12.0
ARABELLA (LIVE AT THE ROYAL ALBERT HALL),505 - LIVE,33,275733,139.62,0.769,-8.013,0.0812,3.3e-05,_IGNORE_EMPTY_IGNORE_,,
ARABELLA (LIVE AT THE ROYAL ALBERT HALL),ARABELLA - LIVE,35,246973,91.247,0.86,-6.814,0.256,0.0,_IGNORE_EMPTY_IGNORE_,,
BODY PAINT,BODY PAINT,0,290584,144.745,0.313,-11.653,0.0627,0.0,_IGNORE_EMPTY_IGNORE_,,
BODY PAINT,THERE’D BETTER BE A MIRRORBALL,0,265798,71.998,0.367,-10.896,0.0309,0.0118,_IGNORE_EMPTY_IGNORE_,,
FAVOURITE WORST NIGHTMARE,505,88,253586,140.266,0.866,-5.822,0.0568,7.78e-05,"[Chorus]
I'm going back to 505
If it's a seven-hour flight or a forty-five-minute drive
In my imagination, you're waiting lying on your side
With your hands between your thighs

[Verse 1]
Stop and wait a sec
When you look at me like that, my darling, what did you expect?
I'd probably still adore you with your hands around my neck
Or I did last time I checked
Not shy of a spark
A knife twists at the thought that I should fall short of the mark
Frightened by the bite, though it's no harsher than the bark
The middle of adventure, such a perfect place to start

[Chorus]
I'm going back to 505
If it's a seven-hour flight or a forty-five-minute drive
In my imagination, you're waiting lying on your side
With your hands between your thighs

[Instrumental Break]

[Verse 2]
But I crumble completely when you cry
It seems like once again you've had to greet me with ""Goodbye""
I'm always just about to go and spoil a surprise
Take my hands off of your eyes too soon

[Chorus]
I'm going back to 505
If it's a seven-hour flight or a forty-five minute drive
In my imagination, you're waiting lying on your side
With your hands between your thighs and a smile",,
FAVOURITE WORST NIGHTMARE,BALACLAVA,62,171226,137.617,0.811,-4.4,0.0919,0.000129,"[Verse 1]
Running off over next door's garden before the hour is done
It's more a question of feeling than it is a question of fun
The confidence is the balaclava, I'm sure you'll baffle 'em good
Will the ending reek of salty cheeks and runny makeup alone?
Or will blood run down the face of a boy bewildered and scorned
And you'll find yourself in a skirmish where you wish you'd never been born?
You tie yourself to the tracks and there isn't no going back
And it's wrong, wrong, wrong, but we'll do it anyway 'cause we love a bit of trouble

[Verse 2]
Are you pulling her from a burning building or throwing her to the sharks?
Can only hope that the ending is as pleasurable as the start
The confidence is the balaclava, I'm sure you'll baffle 'em straight
And it's wrong, wrong, wrong, but she can hardly wait

[Chorus]
That's right, he won't let her out his sight
Now the shaggers perform and the daggers are drawn
Who's the crooks in this crime?
That's right, he won't let her out his sight
Now the shaggers perform and the daggers are drawn
Who's the crooks in this crime?

[Instrumental break]

[Chorus]
That's right, he won't let her out his sight
That's right, he won't let her out his sight
That's right, he won't let her out his sight
Well, you'll be able to boast
Of the day of the most flawless heist of all time

[Outro]
You knew that it'd be trouble right before the very first kiss
Quiet and unassuming but you heard that they were the naughtiest
She pleaded with you to take it off but you resisted and fought
But sorry, sweetheart, I'd much rather keep on the balaclava",,
FAVOURITE WORST NIGHTMARE,BRIANSTORM,71,172866,165.182,0.974,-4.706,0.191,0.00155,"[Verse 1]
Brian, top marks for not trying
So kind of you to bless us with your effortlessness
We're grateful and so strangely comforted
And I wonder, are you putting us under?
'Cause we can't take our eyes off the t-shirt and ties combination
Well, see you later, innovator

[Verse 2]
Some want to kiss, some want to kick you
There's not a net that you couldn't slip through
Or at least that's the impression I get
'Cause you're smooth and you're wet
And she's not aware yet, but she's yours
She'll be saying, ""Use me, show me the jacuzzi""
I imagine that it's there on a plate, your whole rendezvous rate
Means that you'll never be frightened to make 'em wait for a while
I doubt it's your style not to get what you set out to acquire
The eyes are on fire, you are the unforecasted storm

[Verse 3]
(Brian) Calm, collected and commanding
(Top marks for not trying) You leave the other story standing
With your renditions and jokes, bet there's hundreds of blokes
That have wept 'cause you've stolen their thunder
Are you putting us under?
'Cause we can't take our eyes off the t-shirt and ties combination
Well, see you later, innovator",,
FAVOURITE WORST NIGHTMARE,D IS FOR DANGEROUS,62,138106,145.061,0.925,-4.689,0.0362,0.000161,"[Verse 1]
He knew what he wanted to say
But he didn't know how to word it
The dirty little Herbert was seeking an escape
But the place was well-guarded
The guiltiness that started
Soon as the other part had stopped

[Chorus]
D is for delightful
And try and keep your trousers on
I think you should know you're his favourite worst nightmare

[Verse 2]
D is for desperately trying to simulate
What it was that was alright
Three quarters of an hour ago
That had led him to be in a position
On every compromission
And every other episode

[Bridge]
He's nearing the brink but he thinks first
A parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
A parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
A parallel universe perhaps could be the perfect scene
He's nearing the brink but he thinks first
A parallel—I think you should know you're his favourite worst nightmare

[Chorus]
D is for delightful
And try and keep your trousers on
You should know you're his favourite worst nightmare",,
FAVOURITE WORST NIGHTMARE,DO ME A FAVOUR,69,209253,180.15,0.738,-6.638,0.0619,0.0577,"[Verse 1]
Well, the mourning was complete
When there was tears on the steering wheel dripping on the seat
Several hours or several weeks
I'd have the cheek to say they're equally as bleak

[Verse 2]
It's the beginning of the end
The car went up the hill and disappeared around the bend
Ask anyone, they'll tell you that it's these times that it tends
To start to break in half, to start to fall apart, hold on to your heart

[Chorus]
And do me a favour and break my nose
Or do me a favour and tell me to go away
Or do me a favour and stop asking questions

[Verse 3]
She walked away while her shoes were untied
And the eyes were all red, you could see that we'd cried
And I watched and I waited 'til she was inside
Forcing a smile and waving goodbye
Curiosity becomes a heavy load
Too heavy to hold, too heavy to hold
Curiosity becomes a heavy load
Too heavy to hold, will force you to be cold

[Chorus]
Do me a favour and ask if you need some help
She said, ""Do me a favour and stop flattering yourself""
And to tear apart the ties that bind
Perhaps ""Fuck off"" might be too kind
Perhaps ""Fuck off"" might be too kind",,
FAVOURITE WORST NIGHTMARE,FLUORESCENT ADOLESCENT,79,183893,112.056,0.828,-5.377,0.0281,0.000144,"[Verse 1]
You used to get it in your fishnets
Now you only get it in your night dress
Discarded all the naughty nights for niceness
Landed in a very common crisis
Everything's in order in a black hole
Nothing seems as pretty as the past though
That Bloody Mary's lacking in Tabasco
Remember when you used to be a rascal?

[Chorus 1]
Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory and those dreams
But not as daft as they seem, not as daft as they seem
My love, when you dream them up

[Verse 2]
Flicking through a little book of sex tips
Remember when the boys were all electric?
Now when she's told she's gonna get it
I'm guessing that she'd rather just forget it
Clinging to not getting sentimental
Said she wasn't going but she went still
Likes her gentlemen not to be gentle
Was it a Mecca dauber or a betting pencil?

[Chorus 2]
Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory and those dreams
Weren't daft as they seem, not as daft as they seem
My love, when you dream them up
Oh, Flo, where did you go?
Where did you go? Where did you go?

[Bridge]
You're falling about
You took a left off Last Laugh Lane
Just sounding it out
But you're not coming back again
You're falling about
You took a left off Last Laugh Lane
You were just sounding it out
But you're not coming back again

[Outro]
You used to get it in your fishnets
(Falling about)
Now you only get it in your night dress
Discarded all the naughty nights for niceness
(You took a left off Last Laugh Lane)
Landed in a very common crisis
Everything's in order in a black hole
(You were just sounding it out)
Is anything as pretty in the past though?
That Bloody Mary's lacking in Tabasco
(You're not coming back again)
Remember when you used to be a rascal?
(Oh...)",,
FAVOURITE WORST NIGHTMARE,"IF YOU WERE THERE, BEWARE",59,276200,135.546,0.805,-6.74,0.0383,0.048,"[Verse 1]
If you were there, beware the serpent soul pinchers
Three-hundred and fifty ""No, thank you""s and nobody flinches
Go on, girl, go on, give us something gruesome
We require your grief, the thugs help the thieves
As they're trying to rob the words from her gob and
Take the source of the innocence

[Verse 2]
If you were there, beware the serpent soul pinchers
Can't you sense she was never meant to fill column inches
Ain't you had enough? What you're trying to dig up
Isn't there to be dug; the thieves help the thugs
As they're trying to beat the good grace of a sweetheart
Out to the point she'll comply

[Verse 3]
And why leave her on her own?
If I'd have known then I wouldn't have said it
I wouldn't have said it if I would have known
Why leave her on her own?
If I predicted tears then I wouldn't have said it
I wouldn't have said it if I would have known

[Instrumental break]

[Verse 4]
There's a circle of witches, ambitiously vicious they are
Our attempts to remind them of reason won't get us that far
But I don't know what it is that they want
I don't know what it is that they want
But I haven't got it to give
And she hasn't got it to give",,
FAVOURITE WORST NIGHTMARE,OLD YELLOW BRICKS,69,193226,135.158,0.837,-4.315,0.0682,6.62e-06,"[Verse 1]
Old yellow bricks, love's a risk
Quite the little escapologist
Looked so miffed when you wished
For a thousand places better than this
You are the fugitive but you don't know what you're running from
You can't kid us and you couldn't trick anyone
Houdini, love, you don't know what you're running away from

[Chorus]
Who wants to sleep in the city that never wakes up?
Blinded by nostalgia
Who wants to sleep in the city that never wakes up?

[Verse 2]
She was enraged by the way
That the emperor put traps in the cage
And the days she'd deemed dull
Leading to nights reading beer bottles
You're such a fugitive but you don't know what you're running from
You can't kid us and you couldn't trick anyone
Houdini, love, you don't know what you're running away from

[Chorus]
Who wants to sleep in the city that never wakes up?
Blinded by nostalgia
Who wants to sleep in the city that never wakes up?

[Verse 3]
You're at a loss just because
It wasn't all that you thought it was
You are the fugitive
But you don't know what you're running away from
She said, ""I want to sleep in the city that never wakes up
And revel in nostalgia""
I know I said, ""Who wants to sleep in a city that never wakes up?""
But Dorothy was right though",,
